──────────────────────────────────────────────────
Training a network with 6 hidden neurons
with function g(x) = cos(5x-1)*exp(-x*x)
──────────────────────────────────────────────────
x 	 g(x) 	 Response(x)
──────────────────────────────────────────────────
-1 0.35322690848236 0.353157129534722
-0.818181818181818 0.1892091546214 0.189479698303969
-0.636363636363636 -0.337521386398483 -0.338075267673512
-0.454545454545455 -0.806352352004202 -0.805607638368945
-0.272727272727273 -0.661287232686934 -0.66195156452039
-0.0909090909090908 0.115034569988846 0.115312925004258
0.0909090909090908 0.847855453236401 0.848099990956751
0.272727272727273 0.867615618850131 0.866966619401167
0.454545454545455 0.23885626898792 0.239553661349183
0.636363636363636 -0.382663558276821 -0.383138793752503
0.818181818181818 -0.511347209101395 -0.511136264082612
1 -0.240462049968584 -0.240506423163872
